TraceName,ExpName,ipc,precision,recall,Filter
708.sqlite_r-cte_size2000-233B,bw3200_nopf,0.95908,0,0,1
708.sqlite_r-cte_size2000-233B,bw3200_pythia,1.8735,0,0,1
708.sqlite_r-cte_size2000-233B,bw3200_normal,1.08686,100.0,100.0,1
708.sqlite_r-cte_size2000-233B,bw3200_normal_pythia,1.88024,99.98,98.72,1
708.sqlite_r-cte_size2000-233B,bw3200_xpt,1.01779,100.0,49.96,1
708.sqlite_r-cte_size2000-233B,bw3200_xpt_pythia,1.8735,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw3200_nopf,0.45542,0,0,1
708.sqlite_r-fp_size1000-424B,bw3200_pythia,0.53765,0,0,1
708.sqlite_r-fp_size1000-424B,bw3200_normal,0.50672,99.65,100.0,1
708.sqlite_r-fp_size1000-424B,bw3200_normal_pythia,0.58416,99.54,97.7,1
708.sqlite_r-fp_size1000-424B,bw3200_xpt,0.45542,NaN,0.0,1
708.sqlite_r-fp_size1000-424B,bw3200_xpt_pythia,0.53765,NaN,0.0,1
708.sqlite_r-main_size2000-136B,bw3200_nopf,0.83253,0,0,1
708.sqlite_r-main_size2000-136B,bw3200_pythia,0.87649,0,0,1
708.sqlite_r-main_size2000-136B,bw3200_normal,0.8709,93.6,95.82,1
708.sqlite_r-main_size2000-136B,bw3200_normal_pythia,0.89493,92.26,92.07,1
708.sqlite_r-main_size2000-136B,bw3200_xpt,0.83777,97.38,7.83,1
708.sqlite_r-main_size2000-136B,bw3200_xpt_pythia,0.87707,61.79,0.07,1
708.sqlite_r-main_size2000-499B,bw3200_nopf,1.06013,0,0,1
708.sqlite_r-main_size2000-499B,bw3200_pythia,1.08084,0,0,1
708.sqlite_r-main_size2000-499B,bw3200_normal,1.12051,89.32,95.52,1
708.sqlite_r-main_size2000-499B,bw3200_normal_pythia,1.13798,89.82,95.37,1
708.sqlite_r-main_size2000-499B,bw3200_xpt,1.06037,99.85,0.14,1
708.sqlite_r-main_size2000-499B,bw3200_xpt_pythia,1.08084,NaN,0.0,1
708.sqlite_r-main_size2000-556B,bw3200_nopf,1.06619,0,0,1
708.sqlite_r-main_size2000-556B,bw3200_pythia,1.08667,0,0,1
708.sqlite_r-main_size2000-556B,bw3200_normal,1.12624,89.18,95.44,1
708.sqlite_r-main_size2000-556B,bw3200_normal_pythia,1.1432,89.38,95.11,1
708.sqlite_r-main_size2000-556B,bw3200_xpt,1.06642,99.96,0.13,1
708.sqlite_r-main_size2000-556B,bw3200_xpt_pythia,1.08667,75.0,0.0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_nopf,0.9107,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_pythia,0.92134,0,0,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_normal,0.91334,98.07,97.68,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_normal_pythia,0.92138,86.38,60.25,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_xpt,0.91208,97.35,45.25,1
709.cactus_r-shifted_gauge_wave-19B,bw3200_xpt_pythia,0.92059,64.93,3.91,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_nopf,0.81991,0,0,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_pythia,0.88586,0,0,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_normal,0.83287,99.06,98.61,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_normal_pythia,0.88673,87.46,57.49,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_xpt,0.8262,99.2,46.1,1
709.cactus_r-shifted_gauge_wave-26B,bw3200_xpt_pythia,0.88576,83.94,7.5,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_nopf,0.3031,0,0,1
709.cactus_r-shifted_gauge_wave-27B,bw3200_pythia,0.33688,0,0,1
